name,municipality,code,coordinates
Tongoa Airport,Tongoa Island,TGH,"168.550994873, -16.8910999298"
UlÃ©i Airport,Ambryn Island,ULB,"168.3011, -16.3297"
Valesdir Airport,Epi Island,VLS,"168.177001953, -16.796100616500002"
Walaha Airport,Walaha,WLH,"167.690994263, -15.411999702500001"
Southwest Bay Airport,Malekula Island,SWJ,"167.4472, -16.4864"
North West Santo Airport,Olpoi,OLJ,"166.557998657, -14.881699562099998"
Aneityum Airport,Anatom Island,AUY,"169.770996094, -20.2492008209"
Aniwa Airport,Aniwa,AWD,"169.6009, -19.2346"
Dillon's Bay Airport,Dillon's Bay,DLY,"169.00100708, -18.7693996429"
Futuna Airport,Futuna Island,FTA,"170.231994629, -19.516399383499998"
Ipota Airport,Ipota,IPA,"169.283333, -18.856389"
Quion Hill Airport,Quion Hill,UIQ,"168.44200134277344, -17.540000915527344"
Bauerfield International Airport,Port Vila,VLI,"168.32000732422, -17.699300765991"
Tanna Airport,,TAH,"169.2239990234375, -19.45509910583496"
Nowata Airport,Nowata,NWT,"149.729166667, -9.984166666669998"
Tiga Airport,Tiga,TGJ,"167.8040008544922, -21.096099853515625"
Ãle Art - Waala Airport,Waala,BMY,"163.66099548339844, -19.720600128173828"
KonÃ© Airport,KonÃ©,KNQ,"164.83700561523438, -21.05430030822754"
Ãle des Pins Airport,Ãle des Pins,ILP,"167.45599365234375, -22.588899612426758"
Nesson Airport,Houailou,HLU,"165.61700439453125, -21.256399154663086"
Koumac Airport,Koumac,KOC,"164.25599670410156, -20.546300888061523"
Lifou Airport,Lifou,LIF,"167.24000549316406, -20.774799346923828"
NoumÃ©a Magenta Airport,NoumÃ©a,GEA,"166.47300720214844, -22.25830078125"
Edmond CanÃ© Airport,Ãle Ouen,IOU,"166.7830047607422, -22.459999084472656"
Poum Airport,Poum,PUV,"164.0989990234375, -20.289199829101562"
Mueo Airport,Mueo,PDC,"164.99899291992188, -21.3164005279541"
MarÃ© Airport,MarÃ©,MEE,"168.03799438476562, -21.481700897216797"
Touho Airport,Touho,TOU,"165.25900268554688, -20.790000915527344"
OuvÃ©a Airport,OuvÃ©a,UVE,"166.572998046875, -20.640600204467773"
La Tontouta International Airport,NoumÃ©a,NOU,"166.21299743652344, -22.01460075378418"
Auckland International Airport,Auckland,AKL,"174.792007446, -37.008098602299995"
Taupo Airport,Taupo,TUO,"176.08399963378906, -38.73970031738281"
Ardmore Airport,Manurewa,AMZ,"174.97300720214844, -37.029701232910156"
Ashburton Aerodrome,,ASG,"171.7969970703125, -43.90330123901367"
Christchurch International Airport,Christchurch,CHC,"172.53199768066406, -43.48939895629883"
Chatham Islands-Tuuta Airport,Waitangi,CHT,"-176.45700073242188, -43.810001373291016"
Coromandel Aerodrome,,CMV,"175.50900268554688, -36.79169845581055"
Dargaville Aerodrome,,DGR,"173.8939971923828, -35.939701080322266"
Dunedin Airport,Dunedin,DUD,"170.197998046875, -45.9281005859375"
Franz Josef Aerodrome,,WHO,"170.13400268554688, -43.36309814453125"
Great Barrier Aerodrome,Claris,GBZ,"175.4720001220703, -36.24140167236328"
Greymouth Airport,,GMN,"171.19000244140625, -42.461700439453125"
Gisborne Airport,Gisborne,GIS,"177.97799682617188, -38.663299560546875"
Glentanner Airport,Glentanner Station,GTN,"170.1280059814453, -43.906700134277344"
Hokitika Airfield,,HKK,"170.98500061035156, -42.713600158691406"
Hamilton International Airport,Hamilton,HLZ,"175.332000732, -37.8666992188"
Waiheke Reeve Airport,,WIK,"175.08599853515625, -36.80889892578125"
Kaikoura Airport,,KBZ,"173.60499572753906, -42.42499923706055"
Kerikeri Airport,Kerikeri,KKE,"173.91200256347656, -35.26279830932617"
Kaikohe Airport,,KKO,"173.81700134277344, -35.45109939575195"
Kaitaia Airport,Kaitaia,KAT,"173.28500366210938, -35.06999969482422"
Alexandra Airport,Alexandra,ALR,"169.3730010986328, -45.211700439453125"
Matamata Glider Airport,,MTA,"175.74200439453125, -37.73440170288086"
Mechanics Bay Heliport,Auckland City,MHB,"174.787872434, -36.846525628100004"
Mount Cook Airport,,MON,"170.13299560546875, -43.76499938964844"
Milford Sound Airport,,MFN,"167.92300415039062, -44.673301696777344"
Motueka Airport,,MZP,"172.98899841308594, -41.12329864501953"
Manapouri Airport,,TEU,"167.64999389648438, -45.53310012817383"
Hood Airport,Masterton,MRO,"175.63400268554688, -40.97330093383789"
New Plymouth Airport,New Plymouth,NPL,"174.1790008544922, -39.00859832763672"
Hawke's Bay Airport,Napier,NPE,"176.869995, -39.465801"
Nelson Airport,Nelson,NSN,"173.2209930419922, -41.298301696777344"
Invercargill Airport,Invercargill,IVC,"168.31300354003906, -46.41239929199219"
RNZAF Base Ohakea,,OHA,"175.38800048828125, -40.20600128173828"
Oamaru Airport,,OAM,"171.08200073242188, -44.970001220703125"
Palmerston North Airport,,PMR,"175.61700439453125, -40.32059860229492"
Picton Aerodrome,Koromiko,PCN,"173.95599365234, -41.346099853516"
Paraparaumu Airport,,PPQ,"174.98899841308594, -40.904701232910156"
Queenstown International Airport,Queenstown,ZQN,"168.738998413, -45.0210990906"
Raglan Airfield,,RAG,"174.86000061035156, -37.8046989440918"
Ryan's Creek Aerodrome,Oban,SZS,"168.100998, -46.8997"
Rotorua Regional Airport,Rotorua,ROT,"176.31700134277344, -38.10919952392578"
Tauranga Airport,Tauranga,TRG,"176.1959991455078, -37.67190170288086"
Thames Aerodrome,,TMZ,"175.5500030517578, -37.156700134277344"
Takaka Airport,,KTF,"172.77499389648438, -40.81330108642578"
Tokoroa Airfield,Tokoroa,TKZ,"175.89199829101562, -38.236698150634766"
Taharoa Aerodrome,Taharoa,THH,"174.70799255371094, -38.18109893798828"
Timaru Airport,,TIU,"171.22500610351562, -44.302799224853516"
Pukaki Airport,Twitzel,TWZ,"170.117996216, -44.2350006104"
Woodbourne Airport,Blenheim,BHE,"173.8699951171875, -41.5182991027832"
Wanaka Airport,,WKA,"169.24600219727, -44.722198486328"
Whakatane Airport,,WHK,"176.91400146484375, -37.92060089111328"
Wellington International Airport,Wellington,WLG,"174.804992676, -41.3272018433"
Wairoa Airport,Wairoa,WIR,"177.40699768066406, -39.006900787353516"
Whangarei Airport,,WRE,"174.36500549316406, -35.7682991027832"
Westport Airport,,WSZ,"171.58099365234375, -41.73809814453125"
Whitianga Airport,,WTZ,"175.6790008544922, -36.83169937133789"
Wanganui Airport,Wanganui,WAG,"175.02499389648438, -39.96220016479492"
Kneeland Airport,Eureka,NLN,"-123.92800140381, 40.719299316406"
Benton Field,Redding,BZF,"-122.407997131, 40.5749015808"
Shank Air Base,,OAA,"69.07722222219999, 33.9225"
Bamiyan Airport,Bamiyan,BIN,"67.81700134277344, 34.81700134277344"
Bost Airport,Bost,BST,"64.36499786376953, 31.55970001220703"
Chakcharan Airport,Chakcharan,CCN,"65.27102, 34.526465"
Sardeh Band Airport,Sardeh Band,SBF,"68.6364974976, 33.3207015991"
Darwaz Airport,Darwaz,DAZ,"70.88249969482422, 38.46110153198242"
Farah Airport,Farah,FAH,"62.18299865722656, 32.367000579833984"
Fayzabad Airport,Fayzabad,FBD,"70.518097, 37.121101"
Ghazni Airport,Ghazni,GZI,"68.412902832, 33.5312004089"
Khwahan Airport,Khwahan,KWH,"70.21700286865234, 37.882999420166016"
Herat Airport,,HEA,"62.22829818725586, 34.209999084472656"
Bagram Air Base,Bagram,OAI,"69.26499938959999, 34.9460983276"
Jalalabad Airport,,JAA,"70.49859619140625, 34.39979934692383"
Gardez Airport,Gardez,GRG,"69.239402771, 33.631500244099996"
Hamid Karzai International Airport,Kabul,KBL,"69.212303, 34.565899"
Kandahar Airport,,KDH,"65.8478012084961, 31.505800247192383"
Khost Chapman Airport,Khost,KHT,"69.952003, 33.333401"
Maimana Airport,,MMZ,"64.76090240478516, 35.93080139160156"
Mazar I Sharif Airport,,MZR,"67.20970153808594, 36.70690155029297"
Urgun Airport,Urgun,URN,"69.1563034058, 32.9318008423"
Qala-I-Naw Airport,Qala-I-Naw,LQN,"63.117801666259766, 34.98500061035156"
Sharana Airstrip,Sharana,OAS,"68.838517, 33.12575"
Shindand Airport,,OAH,"62.2610015869, 33.3913002014"
Sheghnan Airport,Sheghnan,SGA,"71.5, 37.56700134277344"
Tarin Kowt Airport,Tarin Kowt,TII,"65.8657989502, 32.604198455799995"
Talolqan Airport,Taloqan,TQN,"69.5319976807, 36.7706985474"
Konduz Airport,,UND,"68.91079711914062, 36.66510009765625"
Camp Bastion Airport,,OAZ,"64.2246017456, 31.863800048799998"
Zaranj Airport,Zaranj,ZAJ,"61.865833, 30.972222"
Bahrain International Airport,Manama,BAH,"50.63359832763672, 26.27079963684082"
Sky Harbor Airport,Northbrook,OBK,"-87.85555555559999, 42.1438888889"
Corisco International Airport,Corisco Island,OCS,"9.3304, 0.9125"
Abha Regional Airport,Abha,AHB,"42.65660095210001, 18.240400314299997"
Al Ahsa Airport,,HOF,"49.485198974609375, 25.28529930114746"
Al Baha Airport,,ABT,"41.6343002319, 20.2961006165"
Bisha Airport,,BHH,"42.62089920043945, 19.984399795532227"
King Fahd International Airport,Ad Dammam,DMM,"49.79790115356445, 26.471200942993164"
King Salman Abdulaziz Airport,Dawadmi,DWD,"44.121201, 24.4499"
King Abdulaziz Air Base,,DHA,"50.152000427199994, 26.265399932900003"
Jizan Regional Airport,Jizan,GIZ,"42.58580017089844, 16.901100158691406"
Gassim Airport,,ELQ,"43.77439880371094, 26.302799224853516"
Gurayat Domestic Airport,Gurayat,URY,"37.278898, 31.412413"
Ha'il Airport,Ha'il,HAS,"41.686298, 27.437901"
Jubail Airport,Jubail,QJB,"49.40510177612305, 27.038999557495117"
King Abdulaziz International Airport,Jeddah,JED,"39.156502, 21.6796"
King Khaled Military City Airport,King Khaled Military City,KMC,"45.528198, 27.9009"
King Khaled Air Base,,KMX,"42.80350112915039, 18.297300338745117"
Prince Mohammad Bin Abdulaziz Airport,Medina,MED,"39.705101, 24.5534"
Nejran Airport,,EAM,"44.4192008972168, 17.611400604248047"
Neom Airport,Neom,NUM,"35.28874, 27.927598"
Al Qaisumah/Hafr Al Batin Airport,Qaisumah,AQI,"46.125099, 28.335199"
Prince Sultan Air Base,,AKH,"47.580501556396484, 24.062700271606445"
Rafha Domestic Airport,Rafha,RAH,"43.4906005859375, 29.626399993896484"
King Khaled International Airport,Riyadh,RUH,"46.69879913330078, 24.957599639892578"
Arar Domestic Airport,Arar,RAE,"41.13819885253906, 30.906600952148438"
Riyadh Air Base,Riyadh,XXN,"46.72520065307617, 24.709800720214844"
Sharurah Airport,,SHW,"47.12139892578125, 17.466899871826172"
Al-Jawf Domestic Airport,Al-Jawf,AJF,"40.099998474121094, 29.78510093688965"
Sulayel Airport,,SLF,"45.619598388671875, 20.46470069885254"
Tabuk Airport,Tabuk,TUU,"36.6189, 28.3654"
Taâif Regional Airport,Taâif,TIF,"40.543442, 21.483001"
Turaif Domestic Airport,Turaif,TUI,"38.731544, 31.692188"
Wadi Al Dawasir Airport,,WAE,"45.199600219699995, 20.504299163800003"
Al Wajh Domestic Airport,Al Wajh,EJH,"36.47639846801758, 26.19860076904297"
Prince Abdulmohsin Bin Abdulaziz Airport,Yanbu,YNB,"38.0634, 24.144199"
Zilfi Airport,Zilfi,ZUL,"44.83300018310547, 26.350000381469727"
Ogeranang Airport,,OGE,"147.364166667, -6.46675"
Ogubsucum Airport,Ustupo,OGM,"-77.93385, 9.1383"
Bahregan Airport,,IAQ,"50.272701, 29.840099"
Abadan Airport,Abadan,ABD,"48.2282981873, 30.371099472"
Dezful Airport,,DEF,"48.397598, 32.434399"
Aghajari Airport,Aghajari,AKW,"49.6772, 30.7444"
Gachsaran Airport,Gachsaran,GCH,"50.827999115, 30.337600708"
Omidiyeh Airport,Omidiyeh,OMI,"49.5349006652832, 30.8351993560791"
Mahshahr Airport,,MRX,"49.15190124511719, 30.55620002746582"
Ahwaz Airport,Ahwaz,AWZ,"48.7620010376, 31.337400436399996"
Abu Musa Island Airport,Abu Musa,AEU,"55.033001, 25.8757"
Bushehr Airport,Bushehr,BUZ,"50.8345985413, 28.9447994232"
Asaloyeh Airport,Asaloyeh,YEH,"52.615501, 27.4814"
Jam Airport,Kangan,KNR,"52.35219955444336, 27.820499420166016"
Kish International Airport,Kish Island,KIH,"53.980201721200004, 26.5261993408"
Bandar Lengeh Airport,Bandar Lengeh,BDH,"54.824798584, 26.531999588"
Persian Gulf International Airport,Asalouyeh,PGU,"52.737701, 27.379601"
Khark Island Airport,,KHK,"50.32389831542969, 29.260299682617188"
Sirri Island Airport,,SXI,"54.539398193359375, 25.908899307250977"
Lavan Island Airport,,LVP,"53.356300354003906, 26.810300827026367"
Shahid Ashrafi Esfahani Airport,Kermanshah,KSH,"47.1581001282, 34.3459014893"
Ilam Airport,Ilam,IIL,"46.40480041503906, 33.58660125732422"
Khoram Abad Airport,,KHD,"48.282901763916016, 33.43539810180664"
Sanandaj Airport,,SDG,"47.00920104980469, 35.24589920043945"
Hesa Airport,Hesa,IFH,"51.561100006103516, 32.92890167236328"
Kashan Airport,Kashan,KKS,"51.577, 33.895302"
Esfahan Shahid Beheshti International Airport,Isfahan,IFN,"51.86130142211914, 32.75080108642578"
Shahrekord Airport,Shahrekord,CQD,"50.842201232899995, 32.2971992493"
Sardar-e-Jangal Airport,Rasht,RAS,"49.617778, 37.323333"
Hamadan Airport,Hamadan,HDM,"48.5525016784668, 34.86920166015625"
Arak Airport,Araak,AJK,"49.8473014831543, 34.138099670410156"
Imam Khomeini International Airport,Tehran,IKA,"51.152198791503906, 35.416099548339844"
Mehrabad International Airport,Tehran,THR,"51.31340026855469, 35.68920135498047"
Qazvin Airport,Qazvin,GZW,"50.0471, 36.240101"
Payam International Airport,Karaj,PYK,"50.826698303223, 35.776100158691"
Semnan Municipal Airport,Semnan,SNX,"53.495098, 35.591099"
Bandar Abbas International Airport,Bandar Abbas,BND,"56.37779998779297, 27.218299865722656"
Jiroft Airport,Jiroft,JYR,"57.67029953, 28.726900100699996"
Kerman Airport,Kerman,KER,"56.9510993958, 30.274400711099997"
Bam Airport,,BXR,"58.45000076293945, 29.084199905395508"
Havadarya Airport,Havadarya,HDR,"56.17250061035156, 27.158300399780273"
Rafsanjan Airport,,RJN,"56.05110168457031, 30.297700881958008"
Sirjan Airport,,SYJ,"55.672698974609375, 29.550899505615234"
Birjand Airport,Birjand,XBJ,"59.2661018371582, 32.898101806640625"
Sarakhs Airport,Sarakhs,CKT,"61.06489944458008, 36.50120162963867"
Shahroud Airport,,RUD,"55.104198455799995, 36.4253005981"
Mashhad International Airport,Mashhad,MHD,"59.64099884033203, 36.235198974609375"
Bojnord Airport,Bojnord,BJB,"57.30820083618164, 37.49300003051758"
Sabzevar National Airport,Sabzevar,AFZ,"57.59519958496094, 36.16809844970703"
Tabas Airport,Tabas,TCX,"56.8927001953, 33.6678009033"
Kalaleh Airport,Kalaleh,KLM,"55.4519996643, 37.3833007812"
Gorgan Airport,Gorgan,GBT,"54.4012985229, 36.909400939899996"
Bishe Kola Air Base,Amol,BSM,"52.34960174560547, 36.65510177612305"
Noshahr Airport,,NSH,"51.464698791503906, 36.663299560546875"
Ramsar Airport,,RZR,"50.67959976196289, 36.9099006652832"
Dasht-e Naz Airport,Sari,SRY,"53.193599700899995, 36.635799408"
Fasa Airport,Fasa,FAZ,"53.72330093383789, 28.891799926757812"
Jahrom Airport,Jahrom,JAR,"53.5791015625, 28.586700439499996"
Lar Airport,Lar,LRR,"54.3833007812, 27.6746997833"
Lamerd Airport,Lamerd,LFM,"53.18880081179999, 27.3726997375"
Shiraz Shahid Dastghaib International Airport,Shiraz,SYZ,"52.589802, 29.5392"
Yasouj Airport,Yasouj,YES,"51.545101165771, 30.700500488281"
Khoy Airport,Khoy,KHY,"44.97359848022461, 38.4275016784668"
Ardabil Airport,Ardabil,ADU,"48.4244003296, 38.3256988525"
Sahand Airport,Maragheh,ACP,"46.127899169921875, 37.347999572753906"
Parsabade Moghan Airport,Parsabad,PFQ,"47.881500244141, 39.60359954834"
Urmia Airport,Urmia,OMH,"45.0686988831, 37.6680984497"
Tabriz International Airport,Tabriz,TBZ,"46.23500061035156, 38.1338996887207"
Maku National Airport,Showt,IMQ,"44.43, 39.330002"
Zanjan Airport,Zanjan,JWN,"48.3594017029, 36.7737007141"
Shahid Sadooghi Airport,Yazd,AZD,"54.2765007019, 31.9048995972"
Zabol Airport,,ACZ,"61.54389953613281, 31.09830093383789"
Konarak Airport,Chabahar,ZBR,"60.3820991516, 25.443300247199996"
Zahedan International Airport,Zahedan,ZAH,"60.90620040893555, 29.47570037841797"
Iran Shahr Airport,Iranshahr,IHR,"60.7200012207, 27.2360992432"
Jask Airport,Jask,JSK,"57.799301, 25.653601"
Queen Alia International Airport,Amman,AMM,"35.9931983948, 31.7226009369"
Amman-Marka International Airport,Amman,ADJ,"35.991600036621094, 31.972700119018555"
Aqaba King Hussein International Airport,Aqaba,AQJ,"35.01810073852539, 29.611600875854492"
Jerusalem Airport,Jerusalem,JRS,"35.2192, 31.8647"
King Hussein Air College,Mafraq,OMF,"36.259201, 32.3564"
Downtown Airpark,Oklahoma City,DWN,"-97.532989, 35.449183"
Ahmed Al Jaber Air Base,Ahmed Al Jaber AB,XIJ,"47.791900634799994, 28.9347991943"
Kuwait International Airport,Kuwait City,KWI,"47.96889877319336, 29.226600646972656"
Okao Airport,Okao,OKV,"141.032777778, -5.55666666667"
Beirut Rafic Hariri International Airport,Beirut,BEY,"35.488399505615234, 33.820899963378906"
Rene Mouawad Air Base,Tripoli,KYE,"36.01129913330078, 34.589298248291016"
Olsobip Airport,Olsobip,OLQ,"141.515277778, -5.3897222222200005"
Dibba Airport,Dibba Al-Baya,BYB,"56.2444000244, 25.6142292023"
Adam Airport,Adam,AOM,"57.3838888889, 22.4919444444"
Duqm International Airport,Duqm,DQM,"57.634167, 19.501944"
Rustaq Airport,Al Masna'ah,MNH,"57.4875, 23.640556"
Abu Dhabi International Airport,Abu Dhabi,AUH,"54.651100158691406, 24.433000564575195"
Bateen Airport,,AZI,"54.458099365234375, 24.428300857543945"
Al Ain International Airport,Al Ain,AAN,"55.60919952392578, 24.261699676513672"
Al Dhafra Air Base,,DHF,"54.547698974599996, 24.248199462900004"
Sir Bani Yas Airport,,XSB,"52.580278, 24.283611"
Dubai International Airport,Dubai,DXB,"55.3643989563, 25.2527999878"
Al Minhad Air Base,Dubai,NHD,"55.3661994934, 25.0268001556"
Al Maktoum International Airport,Jebel Ali,DWC,"55.161389, 24.896356"
Fujairah International Airport,,FJR,"56.32400131225586, 25.112199783325195"
Omkalai Airport,Omkalai,OML,"144.96, -6.179"
Osmanabad Airport,Osmanabad,OMN,"76.0574, 18.281"
Ras Al Khaimah International Airport,Ras Al Khaimah,RKT,"55.93880081176758, 25.613500595092773"
Sharjah International Airport,Sharjah,SHJ,"55.5172004699707, 25.32859992980957"
Preah Vinhear Airport,Tbeng Meanchey,OMY,"104.97173, 13.7597"
Ononge Airport,Onange Mission,ONB,"147.262416667, -8.67436111111"
Buraimi Airport,Buraimi,RMB,"55.784722, 24.241111"
Fahud Airport,Fahud,FAU,"56.4841461182, 22.354759318"
Qarn Alam Airport,Ghaba,RNM,"57.0499992371, 21.3829994202"
Ja'Aluni Airport,Duqm,JNJ,"57.3083, 19.4749"
Khasab Air Base,Khasab,KHS,"56.2406005859375, 26.17099952697754"
Lekhwair Airport,,LKW,"55.3733682632, 22.8049846844"
Masirah Air Base,Masirah,MSH,"58.890499114990234, 20.675399780273438"
Muscat International Airport,Muscat,MCT,"58.284400939941406, 23.593299865722656"
Marmul Airport,Marmul,OMM,"55.182098388671875, 18.13599967956543"
Salalah Airport,Salalah,SLL,"54.09130096435547, 17.038700103759766"
Sohar Airport,Sohar,OHS,"56.62541, 24.38604"
Sur Airport,Sur,SUH,"59.483001708984375, 22.533000946044922"
Thumrait Air Base,Thumrait,TTH,"54.024600982666016, 17.666000366210938"
Dadu West Airport,Dadu,DDU,"67.6666030883789, 26.740800857543945"
Bhagatanwala Airport,Bhagatanwala,BHW,"72.94840240479999, 32.056098938"
Bannu Airport,Bannu,BNP,"70.527901, 32.9729"
Bahawalnagar Airport,Bahawalnagar,WGB,"73.24909973144531, 29.946300506591797"
Bahawalpur Airport,Bahawalpur,BHV,"71.71800231933594, 29.348100662231445"
Chitral Airport,Chitral,CJL,"71.80059814453125, 35.886600494384766"
Chilas Airport,Chilas,CHB,"74.081703186, 35.426700592"
Dalbandin Airport,Dalbandin,DBA,"64.3998031616, 28.878299713100002"
Dadu Airport,Dadu,DDU,"67.67459869380001, 26.5545005798"
Dera Ghazi Khan Airport,Dera Ghazi Khan,DEA,"70.48590087890625, 29.961000442504883"
Dera Ismael Khan Airport,Dera Ismael Khan,DSK,"70.89659881591797, 31.909400939941406"
Faisalabad International Airport,Faisalabad,LYP,"72.99479675292969, 31.364999771118164"
Gwadar International Airport,Gwadar,GWD,"62.329498291015625, 25.233299255371094"
Gilgit Airport,Gilgit,GIL,"74.33360290527344, 35.918800354003906"
Islamabad International Airport,Islamabad,ISB,"72.82566, 33.549"
Shahbaz Air Base,Jacobabad,JAG,"68.44969940185547, 28.28420066833496"
Jiwani Airport,Jiwani,JIW,"61.8054008484, 25.067800521900004"
Jinnah International Airport,Karachi,KHI,"67.160797, 24.9065"
Hyderabad Airport,Hyderabad,HDD,"68.366096, 25.3181"
Khuzdar Airport,Khuzdar,KDD,"66.6473007202, 27.790599823"
Kalat Airport,Kalat,KBH,"66.51667022705078, 29.133333206176758"
Kohat Airport,Kohat,OHT,"71.4400024414, 33.5699996948"
Alama Iqbal International Airport,Lahore,LHE,"74.40360260009766, 31.5216007232666"
Loralai Airport,Loralai,LRG,"68.6135025024414, 30.355499267578125"
Mangla Airport,Mangla,XJM,"73.63839721679688, 33.05009841918945"
Muzaffarabad Airport,Muzaffarabad,MFG,"73.50859832763672, 34.3390007019043"
Mianwali Air Base,Mianwali,MWD,"71.5707015991211, 32.5630989074707"
Moenjodaro Airport,Moenjodaro,MJD,"68.14309692382812, 27.3351993560791"
Sindhri Tharparkar Airport,Sindhri,MPD,"69.07279968261719, 25.68280029296875"
Minhas Air Base,Kamra,ATG,"72.4009017944, 33.8690986633"
Multan International Airport,Multan,MUX,"71.41909790039062, 30.20319938659668"
Shaheed Benazirabad Airport,Nawabashah,WNS,"68.390099, 26.2194"
Nushki Airport,Nushki,NHS,"66.02330017089844, 29.538999557495117"
Ormara Airport,Ormara Raik,ORW,"64.58599853519999, 25.274700164799995"
Parachinar Airport,Parachinar,PAJ,"70.0716018677, 33.902099609400004"
Panjgur Airport,Panjgur,PJG,"64.13249969482422, 26.954500198364258"
Pasni Airport,Pasni,PSI,"63.34510040283203, 25.29050064086914"
Peshawar International Airport,Peshawar,PEW,"71.51460266113281, 33.993900299072266"
Quetta International Airport,Quetta,UET,"66.93779754638672, 30.251399993896484"
Shaikh Zaid Airport,Rahim Yar Khan,RYK,"70.27960205078125, 28.383899688720703"
Rawalakot Airport,Rawalakot,RAZ,"73.79810333251953, 33.849700927734375"
Sibi Airport,Sibi,SBQ,"67.847900390625, 29.571199417114258"
Skardu Airport,Skardu,KDU,"75.53600311279297, 35.33549880981445"
Sukkur Airport,Mirpur Khas,SKZ,"68.79170227050781, 27.722000122070312"
Sehwan Sharif Airport,Sehwan Sharif,SYW,"67.71720123291016, 26.473100662231445"
Mushaf Air Base,Sargodha,SGI,"72.66500091552734, 32.04859924316406"
Saidu Sharif Airport,Saidu Sharif,SDT,"72.35279846191406, 34.8135986328125"
Sialkot Airport,Sialkot,SKT,"74.3638916016, 32.5355567932"
Sui Airport,Sui,SUL,"69.1769027709961, 28.645099639892578"
Sahiwal Airport,Sahiwal,SWN,"72.39167022705078, 31.88944435119629"
Tarbela Dam Airport,Tarbela,TLB,"72.61139678960001, 33.9860992432"
Talhar Airport,Badin,BDN,"68.8384017944336, 24.84149932861328"
Taftan Airport,Taftan,TFT,"61.595401763916016, 28.96419906616211"
Turbat International Airport,Turbat,TUK,"63.03020095825195, 25.986400604248047"
Wana Airport,Waana,WAF,"69.57039642333984, 32.3046989440918"
Zhob Airport,Fort Sandeman,PZH,"69.4636001586914, 31.358400344848633"
Al Asad Air Base,HÄ«t,IQA,"42.4412002563, 33.7855987549"
Al Taqaddum Air Base,Al Habbaniyah,TQD,"43.597099304199, 33.33810043335"
Bamarni Airport,Bamarni,BMN,"43.2666015625, 37.09880065917969"
Baghdad International Airport,Baghdad,BGW,"44.2346000671, 33.262500762900004"
Mosul International Airport,Mosul,OSM,"43.1474, 36.305801"
Erbil International Airport,Arbil,EBL,"43.963199615478516, 36.23759841918945"
Kirkuk Air Base,Kirkuk,KIK,"44.348899841308594, 35.46950149536133"
Basrah International Airport,Basrah,BSR,"47.66210174560547, 30.549100875854492"
Al Najaf International Airport,Najaf,NJF,"44.404317, 31.989853"
Qayyarah West Airport,Qayyarah,RQW,"43.125099182099994, 35.76720047"
Sulaymaniyah International Airport,Sulaymaniyah,ISU,"45.316738128699996, 35.5617485046"
Ali Air Base,Nasiriyah,XNH,"46.090099, 30.935801"
Aleppo International Airport,Aleppo,ALP,"37.22439956665039, 36.18069839477539"
Damascus International Airport,Damascus,DAM,"36.51559829711914, 33.4114990234375"
Deir ez-Zor Air Base,Deir ez-Zor,DEZ,"40.175999, 35.2854"
Omora Airport,Omora,OSE,"147.080638889, -7.82777777778"
Ossima Airport,Ossima,OSG,"141.297305556, -2.91555555556"
Qamishli Airport,Qamishly,KAC,"41.191399, 37.020599"
Bassel Al-Assad International Airport,Latakia,LTK,"35.948699951171875, 35.401100158691406"
Palmyra Airport,Tadmur,PMS,"38.316898, 34.5574"
Doha International Airport,Doha,DIA,"51.565102, 25.261101"
Al Udeid Air Base,Ar Rayyan,XJD,"51.3149986267, 25.1173000336"
Hamad International Airport,Doha,DOH,"51.608056, 25.273056"
Andre Maggi Airport,CotriguaÃ§u,OTT,"-58.581944, -9.898611"
Oria Airport,Oria,OTY,"155.771022, -6.577613"
Oum Hadjer Airport,Oum Hadjer,OUM,"19.710256, 13.278244"
Orientos Airport,Orientos,OXO,"141.5361, -28.0598"
Aden International Airport,Aden,ADE,"45.02880096435547, 12.829500198364258"
Abbse Airport,Abbse,EAB,"43.176667, 16.010833"
Ataq Airport,,AXK,"46.82619857788086, 14.551300048828125"
Al-Bayda Airport,Al-Bayda,BYD,"45.441079, 14.105974"
Beihan Airport,,BHN,"45.72010040283203, 14.781999588012695"
Al-Bough Airport,Al-Bough,BUK,"44.621700286899994, 17.3467006683"
Al Ghaidah International Airport,,AAY,"52.17499923706055, 16.191699981689453"
Hodeidah International Airport,Hodeida,HOD,"42.97629928588867, 14.753000259399414"
Kamaran Airport,Kamaran,KAM,"42.6049995422, 15.3633003235"
Mareb Airport,Mareb,MYN,"45.326900482177734, 15.469200134277344"
Mukeiras Airport,Mukayras,UKR,"45.657, 13.9368"
Qishn Airport,Qishn,IHN,"51.682999, 15.417"
Riyan Mukalla International Airport,Riyan,RIY,"49.375, 14.6626"
Sadah Airport,Sadah,SYE,"43.733002, 16.966999"
Sana'a International Airport,Sana'a,SAH,"44.21969985961914, 15.476300239562988"
Socotra International Airport,Socotra Islands,SCT,"53.905799865722656, 12.63070011138916"
Sayun International Airport,Sayun,GXF,"48.78829956049999, 15.9660997391"
Ta'izz International Airport,Ta'izz,TAI,"44.139099121099996, 13.6859998703"
Achutupo Airport,Achutupo,ACU,"-77.96520233150001, 8.43165969849"
Alligandi Airport,Alligandi,AIL,"-78.0236, 9.2226"
Carti Airport,Carti,CTE,"-79.101600647, 9.31346988678"
Mulatupo Airport,Mulatupo,MPP,"-77.7331, 8.9453"
